Filename,Person,Organization
842974_E01238.pdf,Hoi Kin,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF COMPREHENSIVE INCOMEYear
842974_E01238.pdf,Hoi Kin Hong,the CompanySky Infinity Holdings LimitedShareholder of the Company
842974_E01238.pdf,Hong,"GroupSuzhou Macalline Real Estate Co., Ltd"
842974_E01238.pdf,Powerlong,"the GroupQuanzhou Shangquan Industrial Development Co., Ltd."
842974_E01238.pdf,POWERLONG,the Stock Exchange
842974_E01238.pdf,Hoi,Cayman) Ltd.
842974_E01238.pdf,Powerlong,HKAS
842974_E01238.pdf,DIRECTORS,aggregateoutstandingamountsat
842974_E01238.pdf,REMUNERATION COMMITTEEDuring,the Remuneration Committee
842974_E01238.pdf,"RMB1,431,6041,511,4901,431,6041,511,490",Powerlong Real Estate Holdings
842974_E01238.pdf,Powerlong,Powerlong Property Development Company Limitedthe
842974_E01238.pdf,Chen,Powerlong Real Estate Holdings
842974_E01238.pdf,PROPERTIESCompletedinvestmentpropertiesInvestmentpropertiesunderconstructionTotalRMB’000RMB’000RMB’000Year,Powerlong Real Estate Holdings
842974_E01238.pdf,Powerlong,Zhongliang Property Development Co.
842974_E01238.pdf,Hoi Kin HongHoi Wa FongDirectorDirector,Real Estate Holdings Limited
842974_E01238.pdf,Hai,DeltaCentral andWestern
842974_E01238.pdf,LimitedINDEPENDENT AUDITOR’S REPORTFor,Powerlong Real Estate Holdings
842974_E01238.pdf,Hai,LAT
842974_E01238.pdf,Cap,non-controllinginterestsTransaction
842974_E01238.pdf,Powerlong,the PRC青島寶龍房地產發展有限公司Qingdao Powerlong Real Estate Development Co.
842974_E01238.pdf,GAINS/(LOSSES,THE CONSOLIDATED FINANCIAL STATEMENTS30
842974_E01238.pdf,E.1.2,2024)The Remuneration Committee
842974_E01238.pdf,Hoi Wa,SH
842974_E01238.pdf,Zhang,Anbao Real Estate Development Company Limited
842974_E01238.pdf,DIRECTORSSUBSTANTIAL,Family Limited
842974_E01238.pdf,Hai Di,Limited
842974_E01238.pdf,Ningbo Wujiangkou Jianghuicheng,Powerlong Land
842974_E01238.pdf,December20242023RMB’000RMB’000Guarantees,Limited
842974_E01238.pdf,Ding Zu,LimitedDirectors
