name,headline,imageUrl,photoCredit,realTimeWorth,realTimeRank,listWorth,listName,bioPoints,forbesRanks,forbesLists,statTitles,statValues
Binny Bansal,,"https://imageio.forbes.com/specials-images/imageserve/61116090217cdebfc35a536a/0x0.jpg?format=jpg&crop=548,548,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Arindom Chowdhury for xto10x Technologies,$1.4B,#2435 in the world today,$1.4B,Singapore's 50 Richest,"Former Amazon executive Binny Bansal teamed up with pal Sachin Bansal in 2007 to
found Flipkart as an online seller of books, and later grew it into an
e-commerce giant.",#2356,Billionaires (2025),Age,42
Chew Gek Khim & family,,"https://imageio.forbes.com/specials-images/imageserve/61115d557e4ff610b8419c4e/0x0.jpg?format=jpg&crop=1235,1236,x0,y0,safe&height=416&width=416&fit=bounds",Photo by RENDY ARYANTO/Visual Verve Studios/Straits Trading,$1.39B,,,Singapore's 50 Richest,"Chew Gek Khim is the chairman of Straits Trading, which has interests that
include real estate, hospitality and tin smelting.",#35,Singapore's 50 Richest (2024),Age,63
Lim Hock Chee & family,,"https://imageio.forbes.com/specials-images/imageserve/611164f4acc1cf4ff529e63c/0x0.jpg?format=jpg&crop=651,651,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Thong Kah Hoong/Singapore Press Holdings,$1.35B,,,Singapore's 50 Richest,"Son of a hog farmer, Lim Hock Chee started with a small stall selling pork in
1985.",#36,Singapore's 50 Richest (2024),Age,63
Yao Hsiao Tung,,"https://imageio.forbes.com/specials-images/imageserve/5d6011f395808800097db391/0x0.jpg?format=jpg&crop=1486,1484,x2086,y234,safe&height=416&width=416&fit=bounds",Photo by Nicky Loh/Bloomberg,$1.3B,#2565 in the world today,$1.25B,Singapore's 50 Richest,"Yao Hsiao Tung is the executive chairman and CEO of Hi-P International, which
the former DuPont executive acquired as a small tool maker in 1983.",#2479,Billionaires (2025),Age,85
Chua Thian Poh,,"https://imageio.forbes.com/specials-images/imageserve/63176349f251e86cbb478895/0x0.jpg?format=jpg&crop=1168,1168,x1065,y167,safe&height=416&width=416&fit=bounds",Photo by Nicky Loh for Forbes Asia,$1.3B,#2587 in the world today,$1.21B,Singapore's 50 Richest,"High school dropout Chua Thian Poh got his start making hooks and spikes for the
logging industry.",#2623,Billionaires (2025),Age,76
Wong brothers,,"https://imageio.forbes.com/specials-images/imageserve/66d731e82f6a517d54c5a89e/0x0.jpg?format=jpg&crop=675,674,x1122,y219,safe&height=416&width=416&fit=bounds",Photo by Yen Meng Jiin/The Business Times/Newscom,$1.2B,,,Singapore's 50 Richest,"Siblings Charles (pictured), Keith and Kelvin Wong own and run Charles & Keith,
Singapore's homegrown label known for its women's footwear and accessories.",#39,Singapore's 50 Richest (2024),Source of Wealth,Shoes
Michael Kum,,"https://imageio.forbes.com/specials-images/imageserve/5d60040968cb0a000917ec5f/0x0.jpg?format=jpg&crop=3607,3610,x0,y271,safe&height=416&width=416&fit=bounds",Photo by M&L HOSPITALITY,$1.1B,#2872 in the world today,$1.15B,Singapore's 50 Richest,"Hotel tycoon Michael Kum runs a hospitality empire spanning 20 hotels across
Asia and Europe through his privately held M&L Hospitality.",#2933,Billionaires (2025),Age,80
John Lim,,"https://imageio.forbes.com/specials-images/imageserve/5d600bae2dedcb0008e0f0af/0x0.jpg?format=jpg&crop=1966,1965,x793,y4,safe&height=416&width=416&fit=bounds",Photo by Yen Meng Jiin/SPH/Newscom,$1.2B,#2753 in the world today,$1.1B,Singapore's 50 Richest,"John Lim cofounded real estate fund manager ARA Asset Management in 2002, at age
45, with the backing of Hong Kong billionaire Li Ka-shing.",#2623,Billionaires (2025),Age,68
Lim Kaling,,"https://imageio.forbes.com/specials-images/imageserve/64f5e89c510b0ae3501e813e/0x0.jpg?format=jpg&crop=470,470,x91,y88,safe&height=416&width=416&fit=bounds",Photo by David Paul Morris/Bloomberg,$1.2B,#2754 in the world today,$1.08B,Singapore's 50 Richest,"Lim Kaling is an early investor and non-executive director of Razer, a gaming
hardware maker that was set up in 2005.",#2623,Billionaires (2025),Age,61
Muhammed Aziz Khan,,"https://imageio.forbes.com/specials-images/imageserve/5d6008b268cb0a000917ecd7/0x0.jpg?format=jpg&crop=1219,1219,x1734,y489,safe&height=416&width=416&fit=bounds",Photo by Kelvin Chng/SPH/Newscom,$1.1B,#2904 in the world today,$1.06B,Singapore's 50 Richest,"Bangladesh-born Muhammed Aziz Khan, who resides in Singapore, is the chairman of
Summit Group.",#2790,Billionaires (2025),Age,70
Lim Chap Huat,,"https://imageio.forbes.com/specials-images/imageserve/5d60049d68cb0a000917ec75/0x0.jpg?format=jpg&crop=3145,3143,x337,y0,safe&height=416&width=416&fit=bounds",Photo by RAJ NADARAJAN/The Straits Times/Newscom,$1B,#2981 in the world today,$1.05B,Singapore's 50 Richest,"Son of a rickshaw driver, Lim Chap Huat set up a small construction outfit with
two partners in 1976 at age 22.",#2790,Billionaires (2025),Age,70
Zhong Sheng Jian,,"https://imageio.forbes.com/specials-images/imageserve/5a80f6a2a7ea431690133ee7/0x0.jpg?format=jpg&crop=3152,3152,x1208,y7,safe&height=416&width=416&fit=bounds",Photo by Kelvin Chng/The Business Times/Newscom,$1.1B,#2893 in the world today,$1B,Singapore's 50 Richest,"Zhong Sheng Jian is the chairman of Singapore-listed Yanlord Land, one of the
largest non-government-owned real estate developers in China.",#2933,Billionaires (2025),Age,67
David Xueling Li,,"https://imageio.forbes.com/specials-images/imageserve/66d729a11048cb9d7b924990/0x0.jpg?format=jpg&crop=799,799,x1,y0,safe&height=416&width=416&fit=bounds",,$970M,,,Singapore's 50 Richest,"David Xueling Li is chairman and cofounder of JOYY, a Nasdaq-listed,
Singapore-headquartered live streaming and social media platform.",#46,Singapore's 50 Richest (2024),Age,52
Saurabh Mittal,,"https://imageio.forbes.com/specials-images/imageserve/5d669601673aa300083c4f5b/0x0.jpg?format=jpg&crop=683,683,x0,y78,safe&height=416&width=416&fit=bounds",Photo by Saurabh Mittal,$965M,,,Singapore's 50 Richest,"An engineer from the elite Indian Institute of Technology, Delhi, and a Harvard
B-School grad, Saurabh Mittal started out in the hedge fund business.",#47,Singapore's 50 Richest (2024),Age,51
"George Raymond Zage, III.",,"https://imageio.forbes.com/specials-images/imageserve/66d729fdb30922350e93f473/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",,$1.7B,#2071 in the world today,$900M,Singapore's 50 Richest,"George Raymond Zage III is the founder and CEO of Singapore-based investment
firm Tiga Investments.",#2790,Billionaires (2025),Age,55
Laurent Junique,,"https://imageio.forbes.com/specials-images/imageserve/66d7330d1fcb93be81184a02/0x0.jpg?format=jpg&crop=1014,1015,x1654,y354,safe&height=416&width=416&fit=bounds",Photo by TDCX,$895M,,,Singapore's 50 Richest,"Laurent Junique is the CEO and founder of Singapore-based call center and
business process outsourcing firm TDCX.",#49,Singapore's 50 Richest (2024),Age,59
David Chen,,"https://imageio.forbes.com/specials-images/imageserve/5f11befa5d09070006abc89e/0x0.jpg?format=jpg&crop=3113,3113,x143,y295,safe&height=416&width=416&fit=bounds",Photo by Sea Ltd.,$1.7B,#2052 in the world today,$870M,Singapore's 50 Richest,"David Chen is a cofounder of Singapore-headquartered online gaming and
e-commerce firm Sea, best known for its hit mobile game, Free Fire.",#2233,Billionaires (2025),Age,44
